"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","232062"
"go into COVID-19",35, 0.00057
"continue coronavirus",35, 0.00057
"concern coronavirus",35, 0.00057
"begin COVID-19",35, 0.00057
"be contract COVID-19",35, 0.00057
"be before coronavirus",35, 0.00057
"be battle coronavirus",35, 0.00057
"announce new COVID-19",35, 0.00057
"administer [number] COVID-19",35, 0.00057
"transport COVID-19",34, 0.00055
"tighten COVID-19",34, 0.00055
"sign COVID-19",34, 0.00055
"see [number] coronavirus",34, 0.00055
"record coronavirus",34, 0.00055
"propose coronavirus",34, 0.00055
"participate in COVID-19",34, 0.00055
"offset COVID-19",34, 0.00055
"issue a COVID-19",34, 0.00055
"have more coronavirus",34, 0.00055
"explain that COVID-19",34, 0.00055
"do before COVID-19",34, 0.00055
"display coronavirus",34, 0.00055
"create the COVID-19",34, 0.00055
"create a coronavirus",34, 0.00055
"care for coronavirus",34, 0.00055
"be that coronavirus",34, 0.00055
"avoid contract COVID-19",34, 0.00055
"use for coronavirus",33, 0.00053
"update coronavirus",33, 0.00053
"think about COVID-19",33, 0.00053
"take on COVID-19",33, 0.00053
"strike with COVID-19",33, 0.00053
"run COVID-19",33, 0.00053
"mount COVID-19",33, 0.00053
"make a coronavirus",33, 0.00053
"let the COVID-19",33, 0.00053
"know about coronavirus",33, 0.00053
"fear of COVID-19",33, 0.00053
"fear coronavirus",33, 0.00053
"ease the coronavirus",33, 0.00053
"confirm novel coronavirus",33, 0.00053
"compound by COVID-19",33, 0.00053
"clear COVID-19",33, 0.00053
"claim that coronavirus",33, 0.00053
"cancel by COVID-19",33, 0.00053
"see that COVID-19",32, 0.00052
"screen for coronavirus",32, 0.00052
"return from COVID-19",32, 0.00052
"publish COVID-19",32, 0.00052
"propose COVID-19",32, 0.00052
"present COVID-19",32, 0.00052
"predate the coronavirus",32, 0.00052
"mean COVID-19",32, 0.00052
"hospitalise COVID-19",32, 0.00052
"have positive COVID-19",32, 0.00052
"feel COVID-19",32, 0.00052
"fear the coronavirus",32, 0.00052
"donate COVID-19",32, 0.00052
"cure of COVID-19",32, 0.00052
"cover the COVID-19",32, 0.00052
"count COVID-19",32, 0.00052
"compare the coronavirus",32, 0.00052
"breach the COVID-19",32, 0.00052
"swab for COVID-19",31, 0.00050
"suffer COVID-19",31, 0.00050
"risk COVID-19",31, 0.00050
"register COVID-19",31, 0.00050
"reduce the COVID-19",31, 0.00050
"predate COVID-19",31, 0.00050
"post the COVID-19",31, 0.00050
"mishandle of COVID-19",31, 0.00050
"know the COVID-19",31, 0.00050
"impose COVID-19",31, 0.00050
"implement coronavirus",31, 0.00050
"ignore the coronavirus",31, 0.00050
"have any coronavirus",31, 0.00050
"have active COVID-19",31, 0.00050
"guard against COVID-19",31, 0.00050
"give a COVID-19",31, 0.00050
"get their COVID-19",31, 0.00050
"fight against coronavirus",31, 0.00050
"end COVID-19",31, 0.00050
"emerge coronavirus",31, 0.00050
"distribute coronavirus",31, 0.00050
"disregard COVID-19",31, 0.00050
"defeat the COVID-19",31, 0.00050
"decrease COVID-19",31, 0.00050
"contain a coronavirus",31, 0.00050
"conduct a COVID-19",31, 0.00050
"complicate by COVID-19",31, 0.00050
"come with COVID-19",31, 0.00050
"check for COVID-19",31, 0.00050
"be track COVID-19",31, 0.00050
"attend to COVID-19",31, 0.00050
"administer a COVID-19",31, 0.00050
"acquire coronavirus",31, 0.00050
"abide by coronavirus",31, 0.00050
"title "" COVID-19",30, 0.00049
"talk COVID-19",30, 0.00049
"stem the COVID-19",30, 0.00049
"soar coronavirus",30, 0.00049
"revise COVID-19",30, 0.00049
"release a COVID-19",30, 0.00049
"relax coronavirus",30, 0.00049
"read more COVID-19",30, 0.00049
"put the coronavirus",30, 0.00049
"purchase COVID-19",30, 0.00049
"politicize the coronavirus",30, 0.00049
"mandate coronavirus",30, 0.00049
"join the COVID-19",30, 0.00049
"hospitalise with coronavirus",30, 0.00049
"help treat COVID-19",30, 0.00049
"go for COVID-19",30, 0.00049
"get through COVID-19",30, 0.00049
"facilitate COVID-19",30, 0.00049
"do get COVID-19",30, 0.00049
"contact COVID-19",30, 0.00049
"collect COVID-19",30, 0.00049
"beat the COVID-19",30, 0.00049
"be about COVID-19",30, 0.00049
"analyze COVID-19",30, 0.00049
"work against COVID-19",29, 0.00047
"visit the COVID-19",29, 0.00047
"turn COVID-19",29, 0.00047
"suggest coronavirus",29, 0.00047
"share coronavirus",29, 0.00047
"set COVID-19",29, 0.00047
"send coronavirus",29, 0.00047
"reveal coronavirus",29, 0.00047
"report any COVID-19",29, 0.00047
"reduce the coronavirus",29, 0.00047
"ravage by coronavirus",29, 0.00047
"practice COVID-19",29, 0.00047
"mean that COVID-19",29, 0.00047
"launch its COVID-19",29, 0.00047
"involve the coronavirus",29, 0.00047
"host COVID-19",29, 0.00047
"extend the COVID-19",29, 0.00047
"evaluate COVID-19",29, 0.00047
"do coronavirus",29, 0.00047
"describe the COVID-19",29, 0.00047
"delay by coronavirus",29, 0.00047
"carry out coronavirus",29, 0.00047
"cancel over coronavirus",29, 0.00047
"benefit COVID-19",29, 0.00047
"be experience coronavirus",29, 0.00047
"assist with COVID-19",29, 0.00047
"approve for COVID-19",29, 0.00047
"steal COVID-19",28, 0.00045
"spur by COVID-19",28, 0.00045
"spark by COVID-19",28, 0.00045
"shield from coronavirus",28, 0.00045
"see a COVID-19",28, 0.00045
"report a coronavirus",28, 0.00045
"reopen amid COVID-19",28, 0.00045
"reinfected with COVID-19",28, 0.00045
"neutralize the coronavirus",28, 0.00045
"manufacture COVID-19",28, 0.00045
"lead the COVID-19",28, 0.00045
"introduce the COVID-19",28, 0.00045
"help with coronavirus",28, 0.00045
"have develop COVID-19",28, 0.00045
"have be coronavirus",28, 0.00045
"end coronavirus",28, 0.00045
"declare a coronavirus",28, 0.00045
"cure the coronavirus",28, 0.00045
"be report COVID-19",28, 0.00045
"assume COVID-19",28, 0.00045
"announce coronavirus",28, 0.00045
"announce a COVID-19",28, 0.00045
"accept coronavirus",28, 0.00045
"unfold of coronavirus",27, 0.00044
"trace for COVID-19",27, 0.00044
"trace coronavirus",27, 0.00044
"submit a COVID-19",27, 0.00044
"stem COVID-19",27, 0.00044
"spend the coronavirus",27, 0.00044
"say with COVID-19",27, 0.00044
"reflect COVID-19",27, 0.00044
"reel from COVID-19",27, 0.00044
"realize that COVID-19",27, 0.00044
"obtain COVID-19",27, 0.00044
"isolate COVID-19",27, 0.00044
"increase during COVID-19",27, 0.00044
"have undergo COVID-19",27, 0.00044
"hamper by COVID-19",27, 0.00044
"flout the COVID-19",27, 0.00044
"extend the coronavirus",27, 0.00044
"enter COVID-19",27, 0.00044
"do a COVID-19",27, 0.00044
"consider coronavirus",27, 0.00044
"confirm that COVID-19",27, 0.00044
"compare the COVID-19",27, 0.00044
"come the COVID-19",27, 0.00044
"check COVID-19",27, 0.00044
"buy COVID-19",27, 0.00044
"be with COVID-19",27, 0.00044
"avoid spread COVID-19",27, 0.00044
"announce that COVID-19",27, 0.00044
"allocate for COVID-19",27, 0.00044
"add to COVID-19",27, 0.00044
"watch COVID-19",26, 0.00042
"update its coronavirus",26, 0.00042
"undertake a COVID-19",26, 0.00042
"suspect of COVID-19",26, 0.00042
"struggle during COVID-19",26, 0.00042
"strengthen COVID-19",26, 0.00042
"speak about COVID-19",26, 0.00042
"seek a COVID-19",26, 0.00042
"say while COVID-19",26, 0.00042
"report new coronavirus",26, 0.00042
"offer a COVID-19",26, 0.00042
"obtain a COVID-19",26, 0.00042
"observe all COVID-19",26, 0.00042
"implement the COVID-19",26, 0.00042
"have get coronavirus",26, 0.00042
