"corpus","preloaded/eng_jsi_newsfeed_virt"
"subcorpus",""
"concordance size","63517"
"brace for coronavirus",33, 0.00053
"warn that coronavirus",32, 0.00052
"warn on coronavirus",32, 0.00052
"warn about coronavirus",32, 0.00052
"know the coronavirus",32, 0.00052
"impact by COVID-19",32, 0.00052
"hit by COVID-19",32, 0.00052
"have declare coronavirus",32, 0.00052
"close over coronavirus",32, 0.00052
"claim coronavirus",32, 0.00052
"cause coronavirus",32, 0.00052
"be not coronavirus",32, 0.00052
"address COVID-19",32, 0.00052
"view the coronavirus",31, 0.00050
"shrug off coronavirus",31, 0.00050
"say that COVID-19",31, 0.00050
"know about COVID-19",31, 0.00050
"hit from coronavirus",31, 0.00050
"have confirm coronavirus",31, 0.00050
"stem the coronavirus",30, 0.00049
"manage coronavirus",30, 0.00049
"cover coronavirus",30, 0.00049
"show the coronavirus",29, 0.00047
"let the coronavirus",29, 0.00047
"work on coronavirus",28, 0.00045
"receive coronavirus",28, 0.00045
"note the coronavirus",28, 0.00045
"escape coronavirus",28, 0.00045
"affect with coronavirus",28, 0.00045
"worry about COVID-19",27, 0.00044
"understand the coronavirus",27, 0.00044
"think coronavirus",27, 0.00044
"put the coronavirus",27, 0.00044
"postpone amid coronavirus",27, 0.00044
"name as COVID-19",27, 0.00044
"kill by coronavirus",27, 0.00044
"involve the coronavirus",27, 0.00044
"conduct coronavirus",27, 0.00044
"come the coronavirus",27, 0.00044
"cancel amid coronavirus",27, 0.00044
"be that COVID-19",27, 0.00044
"weather the coronavirus",26, 0.00042
"treat for COVID-19",26, 0.00042
"tackle COVID-19",26, 0.00042
"succumb to coronavirus",26, 0.00042
"send coronavirus",26, 0.00042
"report the coronavirus",26, 0.00042
"raise coronavirus",26, 0.00042
"link the coronavirus",26, 0.00042
"investigate the coronavirus",26, 0.00042
"fear coronavirus",26, 0.00042
"come as coronavirus",26, 0.00042
"suspect COVID-19",25, 0.00040
"survive the coronavirus",25, 0.00040
"suggest that coronavirus",25, 0.00040
"loom coronavirus",25, 0.00040
"flee the coronavirus",25, 0.00040
"escape the coronavirus",25, 0.00040
"develop a COVID-19",25, 0.00040
"declare a coronavirus",25, 0.00040
"confirm with COVID-19",25, 0.00040
"be the COVID-19",25, 0.00040
"address the COVID-19",25, 0.00040
"spread of COVID-19",24, 0.00039
"put coronavirus",24, 0.00039
"prevent the COVID-19",24, 0.00039
"monitor the COVID-19",24, 0.00039
"identify the coronavirus",24, 0.00039
"give coronavirus",24, 0.00039
"get a coronavirus",24, 0.00039
"beat coronavirus",24, 0.00039
"battle a coronavirus",24, 0.00039
"suggest coronavirus",23, 0.00037
"report any coronavirus",23, 0.00037
"prevent novel coronavirus",23, 0.00037
"label COVID-19",23, 0.00037
"house coronavirus",23, 0.00037
"halt the coronavirus",23, 0.00037
"grapple with coronavirus",23, 0.00037
"experience coronavirus",23, 0.00037
"defeat coronavirus",23, 0.00037
"create coronavirus",23, 0.00037
"control COVID-19",23, 0.00037
"be carry coronavirus",23, 0.00037
"assess coronavirus",23, 0.00037
"surround the COVID-19",22, 0.00036
"slow coronavirus",22, 0.00036
"react to coronavirus",22, 0.00036
"overcome coronavirus",22, 0.00036
"mitigate the coronavirus",22, 0.00036
"label the coronavirus",22, 0.00036
"ignore the coronavirus",22, 0.00036
"handle a coronavirus",22, 0.00036
"grow COVID-19",22, 0.00036
"find coronavirus",22, 0.00036
"fear of coronavirus",22, 0.00036
"ensure the coronavirus",22, 0.00036
"contract novel coronavirus",22, 0.00036
"classify the coronavirus",22, 0.00036
"appoint a coronavirus",22, 0.00036
"suggest COVID-19",21, 0.00034
"stop COVID-19",21, 0.00034
"scare of coronavirus",21, 0.00034
"report [number] COVID-19",21, 0.00034
"rage coronavirus",21, 0.00034
"provide coronavirus",21, 0.00034
"protect against COVID-19",21, 0.00034
"create the coronavirus",21, 0.00034
"close amid coronavirus",21, 0.00034
"carry COVID-19",21, 0.00034
"be treat coronavirus",21, 0.00034
"assess the coronavirus",21, 0.00034
"suggest that COVID-19",20, 0.00032
"report a coronavirus",20, 0.00032
"limit coronavirus",20, 0.00032
"help coronavirus",20, 0.00032
"have have coronavirus",20, 0.00032
"have any coronavirus",20, 0.00032
"find a coronavirus",20, 0.00032
"feel the coronavirus",20, 0.00032
"estimate the coronavirus",20, 0.00032
"disrupt by coronavirus",20, 0.00032
"designate COVID-19",20, 0.00032
"cope with COVID-19",20, 0.00032
"contaminate with coronavirus",20, 0.00032
"confront coronavirus",20, 0.00032
"come from coronavirus",20, 0.00032
"combat novel coronavirus",20, 0.00032
"block coronavirus",20, 0.00032
"be confirm coronavirus",20, 0.00032
"await coronavirus",20, 0.00032
"anticipate the coronavirus",20, 0.00032
"acknowledge the coronavirus",20, 0.00032
"treat a coronavirus",19, 0.00031
"tie to coronavirus",19, 0.00031
"say no coronavirus",19, 0.00031
"read more coronavirus",19, 0.00031
"protect from coronavirus",19, 0.00031
"politicize coronavirus",19, 0.00031
"pass the coronavirus",19, 0.00031
"panic about coronavirus",19, 0.00031
"make COVID-19",19, 0.00031
"link to COVID-19",19, 0.00031
"launch coronavirus",19, 0.00031
"keep COVID-19",19, 0.00031
"import coronavirus",19, 0.00031
"help combat coronavirus",19, 0.00031
"flee coronavirus",19, 0.00031
"feel coronavirus",19, 0.00031
"exhibit coronavirus",19, 0.00031
"downplay coronavirus",19, 0.00031
"designate coronavirus",19, 0.00031
"continue coronavirus",19, 0.00031
"ask about coronavirus",19, 0.00031
"add the coronavirus",19, 0.00031
"add coronavirus",19, 0.00031
"use for coronavirus",18, 0.00029
"transmit coronavirus",18, 0.00029
"suffer from COVID-19",18, 0.00029
"rule out coronavirus",18, 0.00029
"report on coronavirus",18, 0.00029
"note that coronavirus",18, 0.00029
"monitor COVID-19",18, 0.00029
"let coronavirus",18, 0.00029
"fall on coronavirus",18, 0.00029
"evacuate from coronavirus",18, 0.00029
"drive by coronavirus",18, 0.00029
"delay by coronavirus",18, 0.00029
"compare coronavirus",18, 0.00029
"claim that coronavirus",18, 0.00029
"call the COVID-19",18, 0.00029
"warn that COVID-19",17, 0.00027
"spread the COVID-19",17, 0.00027
"spark coronavirus",17, 0.00027
"pass coronavirus",17, 0.00027
"manage COVID-19",17, 0.00027
"leave the coronavirus",17, 0.00027
"help with coronavirus",17, 0.00027
"handle COVID-19",17, 0.00027
"guard against coronavirus",17, 0.00027
"face a coronavirus",17, 0.00027
"exploit the coronavirus",17, 0.00027
"expect COVID-19",17, 0.00027
"develop the coronavirus",17, 0.00027
"deepen coronavirus",17, 0.00027
"count coronavirus",17, 0.00027
"consider coronavirus",17, 0.00027
"assess for coronavirus",17, 0.00027
"announce coronavirus",17, 0.00027
"allow coronavirus",17, 0.00027
"ward off coronavirus",16, 0.00026
"suspect with coronavirus",16, 0.00026
"support coronavirus",16, 0.00026
"spread new coronavirus",16, 0.00026
"show that coronavirus",16, 0.00026
"reveal the coronavirus",16, 0.00026
"refer to coronavirus",16, 0.00026
"link coronavirus",16, 0.00026
"leave coronavirus",16, 0.00026
"indicate the coronavirus",16, 0.00026
"have spread coronavirus",16, 0.00026
"fight against COVID-19",16, 0.00026
"contact coronavirus",16, 0.00026
"believe that coronavirus",16, 0.00026
"beat the coronavirus",16, 0.00026
"watch coronavirus",15, 0.00024
"suffer coronavirus",15, 0.00024
"study the coronavirus",15, 0.00024
"stand for coronavirus",15, 0.00024
"see a coronavirus",15, 0.00024
"search for coronavirus",15, 0.00024
"run coronavirus",15, 0.00024
"reveal coronavirus",15, 0.00024
"record [number] coronavirus",15, 0.00024
"oversee the coronavirus",15, 0.00024
"offset the coronavirus",15, 0.00024
"name coronavirus",15, 0.00024
"mock coronavirus",15, 0.00024
"manage the COVID-19",15, 0.00024
"linger coronavirus",15, 0.00024
"know that coronavirus",15, 0.00024
"issue coronavirus",15, 0.00024
"hit with coronavirus",15, 0.00024
"help treat coronavirus",15, 0.00024
"happen with coronavirus",15, 0.00024
"grip by coronavirus",15, 0.00024
"exploit coronavirus",15, 0.00024
"eradicate the coronavirus",15, 0.00024
"display coronavirus",15, 0.00024
"discuss COVID-19",15, 0.00024
"control the COVID-19",15, 0.00024
"be novel coronavirus",15, 0.00024
"be no COVID-19",15, 0.00024
"be another coronavirus",15, 0.00024
"announce the coronavirus",15, 0.00024
"use COVID-19",14, 0.00023
"track COVID-19",14, 0.00023
"think about coronavirus",14, 0.00023
"stem coronavirus",14, 0.00023
"spiral coronavirus",14, 0.00023
"speak about coronavirus",14, 0.00023
"solve the coronavirus",14, 0.00023
"show possible coronavirus",14, 0.00023
"show no coronavirus",14, 0.00023
"show COVID-19",14, 0.00023
"share coronavirus",14, 0.00023
"set up coronavirus",14, 0.00023
"search "" coronavirus",14, 0.00023
"say novel coronavirus",14, 0.00023
"reduce coronavirus",14, 0.00023
"recover COVID-19",14, 0.00023
"predate the coronavirus",14, 0.00023
"name the coronavirus",14, 0.00023
"mutate coronavirus",14, 0.00023
"isolate the coronavirus",14, 0.00023
"identify COVID-19",14, 0.00023
"handle the COVID-19",14, 0.00023
"find the coronavirus",14, 0.00023
"do coronavirus",14, 0.00023
"designate for coronavirus",14, 0.00023
"describe coronavirus",14, 0.00023
"declare novel coronavirus",14, 0.00023
"confirm as coronavirus",14, 0.00023
"care for coronavirus",14, 0.00023
"believe COVID-19",14, 0.00023
"be on coronavirus",14, 0.00023
"be more coronavirus",14, 0.00023
